bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
270,-1.985822E-7,0.0,0.0,-1.35E-4
271,5.113621E-6,0.165,0.159,0.00349
272,-1.2502899E-7,0.0,0.0,-8.53E-5
273,4.271578E-6,0.168,0.16,0.00291
274,-1.5973635E-7,0.0,0.0,-1.09E-4
275,6.2344316E-6,0.156,0.153,0.00425
276,-1.15877725E-7,0.0,0.0,-7.9E-5
277,5.1931174E-6,0.157,0.148,0.00354
278,-1.6407813E-7,0.0,0.0,-1.12E-4
279,-9.100951E-8,0.0,0.0,-6.21E-5
280,-5.9478356E-8,0.0,0.0,-4.06E-5
281,-1.1345512E-7,0.0,0.0,-7.74E-5
282,-6.733761E-8,0.0,0.0,-4.59E-5
283,-1.06965125E-7,0.0,0.0,-7.3E-5
284,-4.6238952E-8,0.0,0.0,-3.15E-5
285,-6.222185E-8,0.0,0.0,-4.24E-5
286,-8.380049E-8,0.0,0.0,-5.72E-5
287,-5.955829E-8,0.0,0.0,-4.06E-5
288,-6.0864515E-8,0.0,0.0,-4.15E-5
289,-4.78457E-8,0.0,0.0,-3.26E-5
290,-6.669583E-8,0.0,0.0,-4.55E-5
291,-8.2001215E-8,0.0,0.0,-5.59E-5
292,-4.622243E-8,0.0,0.0,-3.15E-5
293,-5.802187E-8,0.0,0.0,-3.96E-5
294,-4.5218645E-8,0.0,0.0,-3.08E-5
295,-3.3152887E-8,0.0,0.0,-2.26E-5
296,-3.539218E-8,0.0,0.0,-2.41E-5
297,-6.923257E-8,0.0,0.0,-4.72E-5
298,-5.4077066E-8,0.0,0.0,-3.69E-5
299,-5.990646E-8,0.0,0.0,-4.09E-5
300,-6.991278E-8,0.0,0.0,-4.77E-5
301,-5.0506184E-8,0.0,0.0,-3.44E-5
302,-4.407229E-8,0.0,0.0,-3.01E-5
303,-7.583748E-8,0.0,0.0,-5.17E-5
304,5.6453175E-9,0.0,0.0,3.85E-6
305,-3.6412104E-8,0.0,0.0,-2.48E-5
306,-4.357885E-8,0.0,0.0,-2.97E-5
307,-5.171518E-8,0.0,0.0,-3.53E-5
308,-3.0637665E-8,0.0,0.0,-2.09E-5
309,3.8414987E-6,0.152,0.15,0.00262
310,-1.6470992E-7,0.0,0.0,-1.12E-4
311,6.4091755E-6,0.175,0.17,0.00437
312,-6.8568895E-8,0.0,0.0,-4.68E-5
313,3.94421E-6,0.148,0.145,0.00269
314,-1.2387994E-7,0.0,0.0,-8.45E-5
315,5.7289863E-6,0.169,0.165,0.00391
316,-9.6703246E-8,0.0,0.0,-6.6E-5
317,5.1661304E-6,0.152,0.149,0.00352
318,-1.03786604E-7,0.0,0.0,-7.08E-5
319,6.5554086E-6,0.173,0.167,0.00447
320,-9.847601E-8,0.0,0.0,-6.72E-5
321,4.7873464E-6,0.148,0.145,0.00327
322,-1.0384271E-7,0.0,0.0,-7.08E-5
323,5.051203E-6,0.167,0.164,0.00345
